parameter,gt,fourier_est,fourier_std,chirp_est,chirp_std,sine_est,sine_std
1,3.73e-02,3.67e-02,3.33e-03,2.37e-02,6.54e-03,1.12e-01,6.74e-03
2,-2.03e-03,-4.91e-02,6.90e-04,-5.61e-02,4.77e-04,-4.44e-02,3.02e-04
3,-3.35e+00,-3.36e+00,1.44e-03,-3.30e+00,3.46e-03,-3.61e+00,7.11e-03
4,1.07e+00,1.09e+00,8.08e-03,1.26e+00,8.23e-02,9.18e-01,9.54e-03
5,-3.98e-03,7.23e-04,3.37e-03,-1.14e-01,7.56e-03,-5.02e-03,2.64e-03
6,1.03e-02,7.02e-02,3.81e-03,1.09e-01,4.05e-02,3.57e-02,5.45e-03
7,7.69e-04,-2.32e-03,2.69e-03,-2.43e-01,2.27e-02,2.31e-02,2.98e-03
8,1.12e+00,1.09e+00,5.75e-03,5.43e-02,9.97e-02,-8.88e-01,4.20e-02
9,7.49e-01,7.90e-01,9.50e-04,7.73e-01,6.49e-04,7.43e-01,5.41e-04
10,2.82e-02,2.33e-02,8.45e-04,3.39e-02,4.19e-04,2.37e-02,3.80e-04
11,1.16e-02,-3.36e-02,5.18e-03,-1.12e-01,2.29e-02,6.17e-02,7.87e-03
12,-1.22e-04,-6.48e-03,2.62e-03,-1.83e-01,1.44e-02,-6.27e-03,4.69e-03
13,-5.49e-03,1.41e-02,2.06e-03,1.96e-02,6.30e-03,1.02e-01,3.99e-03
14,-4.38e-03,-1.47e-02,2.43e-03,5.25e-02,9.43e-03,-1.04e-01,6.13e-03
15,1.35e-01,1.47e-01,3.09e-03,1.32e-01,9.23e-03,6.67e-02,8.17e-03
16,-5.55e-01,-4.97e-01,9.93e-04,-4.97e-01,9.21e-04,-4.74e-01,9.12e-04
17,2.02e+00,1.99e+00,5.54e-04,1.91e+00,1.89e-04,1.89e+00,3.60e-04
18,6.51e-01,6.36e-01,3.32e-03,6.16e-01,9.75e-03,5.11e-01,7.50e-03
19,1.64e-01,1.63e-01,1.25e-03,1.63e-01,3.70e-03,2.47e-01,3.56e-03
20,3.91e-03,6.68e-03,1.90e-03,2.08e-02,6.22e-03,7.44e-02,6.04e-03
21,-1.64e-03,-9.33e-03,1.74e-03,-2.40e-02,7.14e-03,1.80e-02,3.71e-03
22,7.54e-01,7.96e-01,3.71e-03,6.76e-01,1.34e-02,7.71e-01,5.67e-03
23,-1.47e-02,-1.78e-02,6.41e-04,-1.46e-02,4.06e-04,-1.44e-02,3.87e-04
24,6.79e-02,6.70e-02,5.18e-04,6.61e-02,1.67e-04,6.76e-02,3.64e-04
25,3.03e-02,1.26e-02,2.31e-03,2.46e-03,4.40e-03,3.63e-02,2.20e-03
26,-1.52e-03,-4.14e-03,1.05e-03,-1.91e-02,2.11e-03,1.31e-02,1.17e-03
27,-4.60e-03,-2.41e-02,8.90e-04,8.75e-03,2.06e-03,-8.19e-03,1.18e-03
28,2.16e-03,-1.85e-03,1.52e-03,3.11e-02,2.53e-03,2.99e-03,1.21e-03
29,3.32e-02,2.56e-02,2.00e-03,4.35e-02,4.29e-03,4.01e-02,2.16e-03
30,2.34e-01,2.46e-01,5.95e-04,2.08e-01,1.97e-04,2.16e-01,3.87e-04
31,-1.80e-01,-1.79e-01,4.61e-04,-2.04e-01,3.16e-04,-2.06e-01,2.90e-04
32,2.13e-02,1.87e-02,1.95e-03,4.65e-02,3.08e-03,3.57e-02,1.59e-03
33,1.53e-02,1.03e-02,8.63e-04,2.03e-02,1.53e-03,1.75e-02,7.02e-04
34,-1.04e-04,1.03e-02,1.20e-03,1.84e-02,2.28e-03,1.39e-03,9.98e-04
35,9.36e-05,1.00e-03,1.13e-03,9.28e-03,1.93e-03,9.46e-03,1.10e-03
36,6.47e-02,5.29e-02,1.65e-03,3.83e-02,2.77e-03,7.78e-02,1.52e-03
37,7.86e-02,7.85e-02,4.31e-04,5.64e-03,1.65e-04,5.65e-03,2.42e-04
38,7.67e-02,7.04e-02,3.77e-04,-2.75e-03,1.47e-04,-3.82e-03,2.55e-04
39,8.35e-04,7.08e-03,1.18e-03,8.91e-04,7.50e-04,8.13e-03,9.30e-04
40,-7.87e-03,-1.39e-02,6.41e-04,-3.56e-04,3.68e-04,3.42e-03,4.75e-04
41,-3.29e-03,-1.04e-02,8.30e-04,2.93e-03,3.95e-04,-1.98e-03,3.22e-04
42,-3.59e-03,1.79e-03,9.46e-04,-1.13e-03,4.13e-04,2.03e-03,3.27e-04
43,2.22e-02,2.37e-02,1.25e-03,6.22e-03,4.39e-04,7.97e-03,4.81e-04
